Node;X;Y
65.0000000000;8.1875743866;9.0212678909
66.0000000000;8.0794143677;9.2606620789
67.0000000000;8.0088758469;9.5166816711
68.0000000000;7.9725270271;9.7783250809
69.0000000000;7.9624781609;10.0452375412
70.0000000000;7.9720168114;10.3180131912
71.0000000000;7.9960532188;10.6023778915
72.0000000000;8.0298643112;10.8962659836
73.0000000000;7.7559952736;11.1999998093
74.0000000000;7.4551720619;11.1999998093
75.0000000000;7.1584105492;11.1999998093
76.0000000000;6.8622374535;11.1999998093
77.0000000000;6.5655465126;11.1999998093
78.0000000000;6.2681984901;11.1999998093
79.0000000000;5.9703431129;11.1999998093
80.0000000000;5.6721644402;11.1999998093
81.0000000000;5.3738036156;11.1999998093
82.0000000000;5.0753426552;11.1999998093
83.0000000000;4.7768340111;11.1999998093
84.0000000000;4.4783015251;11.1999998093
85.0000000000;4.1797575951;11.1999998093
86.0000000000;3.8812088966;11.1999998093
87.0000000000;3.5826590061;11.1999998093
88.0000000000;3.2841076851;11.1999998093
89.0000000000;2.9855558872;11.1999998093
90.0000000000;2.6870036125;11.1999998093
91.0000000000;2.3884520531;11.1999998093
92.0000000000;2.0899004936;11.1999998093
93.0000000000;1.7913488150;11.1999998093
94.0000000000;1.4927963018;11.1999998093
95.0000000000;1.1942437887;11.1999998093
96.0000000000;0.8956893682;11.1999998093
97.0000000000;0.5971320868;11.1999998093
98.0000000000;0.2985733747;11.1999998093
99.0000000000;0.0000003600;10.8971281052
100.0000000000;0.0000003600;10.5942525864
101.0000000000;0.0000003600;10.2914276123
102.0000000000;0.0000003600;9.9887199402
103.0000000000;0.0000003600;9.6862277985
104.0000000000;0.0000003600;9.3840570450
105.0000000000;0.0000003600;9.0822572708
106.0000000000;0.0000003600;8.7807941437
107.0000000000;0.0000003600;8.4796037674
108.0000000000;0.0000003600;8.1785144806
109.0000000000;0.0000003600;7.8771324158
110.0000000000;0.0000003600;7.5755138397
111.0000000000;0.0000003600;7.2734727859
112.0000000000;0.0000003600;6.9710464478
113.0000000000;0.0000003600;6.6683387756
114.0000000000;0.0000003600;6.3654479980
115.0000000000;0.0000003600;6.0624475479
116.0000000000;0.0000003600;5.7593889236
117.0000000000;0.0000003600;5.4562969208
118.0000000000;0.0000003600;5.1531915665
119.0000000000;0.0000003600;4.8500776291
120.0000000000;0.0000003600;4.5469608307
121.0000000000;0.0000003600;4.2438411713
122.0000000000;0.0000003600;3.9407224655
123.0000000000;0.0000003600;3.6376037598
124.0000000000;0.0000003600;3.3344841003
125.0000000000;0.0000003600;3.0313644409
