      eval;                   phi;                    x1;                    x2;                    x3;                    x4;                    x5
        53;         8378.66161223;            0.25035440;            0.35917883;            2.73989226;          256.11719302;          855.07424240
        54;         8378.66161223;            0.25035440;            0.35917883;            2.73989226;          256.11719302;          855.07424240
        55;         8378.66161223;            0.25035440;            0.35917883;            2.73989226;          256.11719302;          855.07424240
        56;         8378.65031755;            0.25035440;            0.35917883;            2.73989230;          256.11719302;          855.07424240
        57;         8378.50911597;            0.25035440;            0.35917883;            2.73989226;          256.11719684;          855.07424240
        58;         8378.50911597;            0.25035440;            0.35917883;            2.73989226;          256.11719684;          855.07424240
        59;            0.64360449;            0.25708727;            0.35703748;            2.75396056;          256.00111737;          855.00394947
        60;            0.64360449;            0.25708727;            0.35703748;            2.75396056;          256.00111737;          855.00394947
        61;            0.64360449;            0.25708727;            0.35703748;            2.75396056;          256.00111737;          855.00394947
        62;            0.64351191;            0.25708727;            0.35703748;            2.75396061;          256.00111737;          855.00394947
        63;            0.64236525;            0.25708727;            0.35703748;            2.75396056;          256.00112119;          855.00394947
        64;            0.64236525;            0.25708727;            0.35703748;            2.75396056;          256.00112119;          855.00394947
        65;            0.00000002;            0.25717098;            0.35701300;            2.75408996;          256.00000020;          855.00000056
        66;            0.00000002;            0.25717098;            0.35701300;            2.75408996;          256.00000020;          855.00000056
        67;            0.00000002;            0.25717098;            0.35701300;            2.75408996;          256.00000020;          855.00000056
        68;            0.00000001;            0.25717098;            0.35701300;            2.75409000;          256.00000020;          855.00000056
        69;            0.00000001;            0.25717098;            0.35701300;            2.75409000;          256.00000020;          855.00000056
        70;            0.00000001;            0.25717098;            0.35701300;            2.75409000;          256.00000020;          855.00000056
        71;            0.00000000;            0.25717100;            0.35701300;            2.75409000;          256.00000000;          855.00000000
        72;            0.00000000;            0.25717100;            0.35701300;            2.75409000;          256.00000000;          855.00000000
        73;            0.00000000;            0.25717100;            0.35701300;            2.75409000;          256.00000000;          855.00000000
        74;            0.00000000;            0.25717100;            0.35701300;            2.75409000;          256.00000000;          855.00000000
        75;            0.00000000;            0.25717100;            0.35701300;            2.75409000;          256.00000000;          855.00000000
