      eval;                   phi;                    x1;                    x2;                    x3;                    x4;                    x5
        37;       205927.98369759;            0.07789709;            0.40102008;            2.32990794;          255.81087594;          787.81839653
        38;       205927.95222601;            0.07789709;            0.40102008;            2.32990798;          255.81087594;          787.81839653
        39;       205927.54114037;            0.07789709;            0.40102008;            2.32990794;          255.81087975;          787.81839653
        40;       205927.54114037;            0.07789709;            0.40102008;            2.32990794;          255.81087975;          787.81839653
        41;       205927.54114037;            0.07789709;            0.40102008;            2.32990794;          255.81087975;          787.81839653
        42;        10595.03713704;            0.12867602;            0.38948674;            2.29024602;          257.88659362;          776.18281543
        43;        10595.03536300;            0.12867602;            0.38948674;            2.29024602;          257.88659362;          776.18281543
        44;        10595.03536300;            0.12867602;            0.38948674;            2.29024602;          257.88659362;          776.18281543
        45;        10595.03536300;            0.12867602;            0.38948674;            2.29024602;          257.88659362;          776.18281543
        46;        10595.03536300;            0.12867602;            0.38948674;            2.29024602;          257.88659362;          776.18281543
        47;        10595.02503250;            0.12867602;            0.38948674;            2.29024602;          257.88659362;          776.18282699
        48;        10595.02503250;            0.12867602;            0.38948674;            2.29024602;          257.88659362;          776.18282699
        49;         5975.93391485;            0.13892745;            0.38708295;            2.29482192;          257.87706496;          774.41403288
        50;         5975.93381418;            0.13892745;            0.38708295;            2.29482192;          257.87706496;          774.41403288
        51;         5975.93381418;            0.13892745;            0.38708295;            2.29482192;          257.87706496;          774.41403288
        52;         5975.93381418;            0.13892745;            0.38708295;            2.29482192;          257.87706496;          774.41403288
        53;         5975.93381418;            0.13892745;            0.38708295;            2.29482192;          257.87706496;          774.41403288
        54;         5975.93341038;            0.13892745;            0.38708295;            2.29482192;          257.87706496;          774.41404441
        55;         4885.41418693;            0.14701066;            0.38088992;            2.26129351;          257.02973754;          762.65976277
        56;         4885.41418693;            0.14701066;            0.38088992;            2.26129351;          257.02973754;          762.65976277
        57;         4885.41418693;            0.14701066;            0.38088992;            2.26129351;          257.02973754;          762.65976277
        58;         4885.41282992;            0.14701066;            0.38088992;            2.26129355;          257.02973754;          762.65976277
        59;         4885.39594891;            0.14701066;            0.38088992;            2.26129351;          257.02974137;          762.65976277
        60;         4885.39594891;            0.14701066;            0.38088992;            2.26129351;          257.02974137;          762.65976277
        61;         4493.88740921;            0.15699612;            0.36824800;            2.11205825;          255.18788227;          740.81216805
        62;         4493.88740921;            0.15699612;            0.36824800;            2.11205825;          255.18788227;          740.81216805
        63;         4493.88740921;            0.15699612;            0.36824800;            2.11205825;          255.18788227;          740.81216805
        64;         4493.88208672;            0.15699612;            0.36824800;            2.11205828;          255.18788227;          740.81216805
        65;         4493.81731073;            0.15699612;            0.36824800;            2.11205825;          255.18788607;          740.81216805
        66;         4493.81731073;            0.15699612;            0.36824800;            2.11205825;          255.18788607;          740.81216805
        67;         2617.16634918;            0.16147667;            0.36186631;            2.04732373;          254.23302028;          730.94505091
        68;         2617.16634918;            0.16147667;            0.36186631;            2.04732373;          254.23302028;          730.94505091
        69;         2617.16634918;            0.16147667;            0.36186631;            2.04732373;          254.23302028;          730.94505091
        70;         2617.16525593;            0.16147667;            0.36186631;            2.04732377;          254.23302028;          730.94505091
        71;         2617.15210339;            0.16147667;            0.36186631;            2.04732373;          254.23302407;          730.94505091
        72;         2617.15210339;            0.16147667;            0.36186631;            2.04732373;          254.23302407;          730.94505091
        73;         2617.15210339;            0.16147667;            0.36186631;            2.04732373;          254.23302407;          730.94505091
        74;         2298.60477287;            0.16461620;            0.35747014;            2.00103389;          253.58295780;          724.02181848
        75;         2298.60477287;            0.16461620;            0.35747014;            2.00103389;          253.58295780;          724.02181848
