      eval;                   phi;                    x1;                    x2;                    x3;                    x4;                    x5
        38;     16931316.45360185;            0.11712878;            0.39112283;            2.44070570;          227.48474369;         1168.63053683
        39;     16931316.17804357;            0.11712878;            0.39112283;            2.44070566;          227.48474708;         1168.63053683
        40;     16931318.17258140;            0.11712878;            0.39112283;            2.44070566;          227.48474369;         1168.63055424
        41;      2334628.07167934;            0.09290299;            0.38135367;            2.59903409;          239.56426872;          960.56196013
        42;      2334628.06259605;            0.09290300;            0.38135367;            2.59903409;          239.56426872;          960.56196013
        43;      2334628.04691970;            0.09290299;            0.38135367;            2.59903409;          239.56426872;          960.56196013
        44;      2334628.07745493;            0.09290299;            0.38135367;            2.59903413;          239.56426872;          960.56196013
        45;      2334627.99857464;            0.09290299;            0.38135367;            2.59903409;          239.56427229;          960.56196013
        46;      2334628.42060859;            0.09290299;            0.38135367;            2.59903409;          239.56426872;          960.56197444
        47;      2583099.02385071;            0.20981758;            0.33814908;            1.72617342;          252.27210888;          810.02471450
        48;       462106.33561237;            0.17529938;            0.36013092;            2.45350500;          250.39371274;          858.81167684
        49;       462106.33930219;            0.17529938;            0.36013092;            2.45350500;          250.39371274;          858.81167684
        50;       462106.52980452;            0.17529938;            0.36013092;            2.45350500;          250.39371274;          858.81167684
        51;       462106.32128650;            0.17529938;            0.36013092;            2.45350504;          250.39371274;          858.81167684
        52;       462106.27912255;            0.17529938;            0.36013092;            2.45350500;          250.39371647;          858.81167684
        53;       462106.30870525;            0.17529938;            0.36013092;            2.45350500;          250.39371274;          858.81168964
        54;       710215.08130444;            0.26118810;            0.32275220;            1.81854289;          252.26471913;          805.22439230
        55;       120918.50233426;            0.24513904;            0.33809703;            2.24537177;          252.65251757;          827.10376614
        56;       120918.52667216;            0.24513904;            0.33809703;            2.24537177;          252.65251757;          827.10376614
        57;       120918.70065331;            0.24513904;            0.33809704;            2.24537177;          252.65251757;          827.10376614
        58;       120918.47491546;            0.24513904;            0.33809703;            2.24537180;          252.65251757;          827.10376614
        59;       120918.36588444;            0.24513904;            0.33809703;            2.24537177;          252.65252134;          827.10376614
        60;       120918.43272677;            0.24513904;            0.33809703;            2.24537177;          252.65251757;          827.10377847
        61;        84733.16534919;            0.28323139;            0.31460155;            1.88924470;          251.84104161;          803.14494313
        62;        84733.23508750;            0.28323139;            0.31460155;            1.88924470;          251.84104161;          803.14494313
        63;        84733.48124372;            0.28323139;            0.31460155;            1.88924470;          251.84104161;          803.14494313
        64;        84733.09936034;            0.28323139;            0.31460155;            1.88924473;          251.84104161;          803.14494313
        65;        84732.84373506;            0.28323139;            0.31460155;            1.88924470;          251.84104536;          803.14494313
        66;        84733.03450625;            0.28323139;            0.31460155;            1.88924470;          251.84104161;          803.14495509
