Element;Node-1;Node-2;Node-3;Node-4
789;688;247;676;1248
790;1210;689;605;651
791;650;1210;1190;81
792;899;1135;691;152
793;702;794;1285;710
794;205;678;1358;693
795;108;1315;720;694
796;695;679;107;1272
797;675;727;696;194
798;1353;947;931;1371
799;751;163;764;779
800;674;700;1274;79
801;87;1216;713;701
802;80;1236;701;1211
803;703;1297;716;1330
804;768;708;1330;216
805;704;93;718;728
806;1350;1338;804;227
807;125;729;706;723
808;1275;706;1308;116
809;725;707;737;749
810;206;726;693;1358
811;708;206;1358;678
812;968;698;709;1353
813;700;710;1285;86
814;163;669;712;764
815;713;733;81;1190
816;700;86;714;1274
817;714;86;766;87
818;1306;715;1292;1284
819;794;766;86;1285
820;1330;716;1338;216
821;864;741;1304;116
822;852;94;835;796
823;740;1315;730;1278
824;1278;730;109;1273
825;258;685;721;1257
826;257;721;685;1209
827;236;749;754;722
828;754;749;737;237
829;236;647;725;749
830;1366;726;206;753
831;727;745;195;696
832;692;704;1284;1292
833;755;746;774;126
834;1308;706;729;739
835;1257;721;731;744
836;1216;759;733;713
837;1260;734;87;766
838;734;765;806;88
839;753;207;767;1366
840;237;1290;736;754
841;1307;705;736;1290
842;724;738;1269;259
843;116;1308;739;864
844;801;1281;740;1278
845;717;1304;741;1325
846;742;756;770;1157
847;744;731;269;757
848;1269;743;773;259
849;1323;126;817;828
850;1290;803;747;1307
851;748;822;773;743
852;1251;763;1262;249
853;164;751;779;826
854;1241;1240;100;814
855;767;207;832;196
856;755;117;739;729
857;769;124;668;1208
858;800;769;1208;123
859;786;1313;758;771
860;772;759;1216;88
861;760;831;761;109
862;110;781;802;873
863;783;1349;1331;762
864;803;784;879;238
865;806;1217;1193;787
866;765;734;1260;752
867;1141;1366;767;196
868;768;216;793;791
869;780;769;800;132
870;777;770;133;797
871;771;742;1157;786
872;787;772;88;806
873;776;1312;1336;774
874;775;82;650;81
875;792;1314;1313;786
876;1312;776;1324;135
877;777;816;812;134
878;836;818;778;1312
879;127;798;818;895
880;175;826;779;799
881;780;132;815;133
882;1273;820;801;1278
883;853;782;238;891
884;228;762;782;853
885;716;686;804;1338
886;750;763;1251;784
887;788;785;259;773
888;825;785;788;1237
889;134;792;786;1157
890;819;809;1193;99
891;1185;789;772;787
892;808;89;400;446
893;796;100;790;101
894;134;812;1329;792
895;792;1329;870;1314
896;1352;793;783;805
897;791;793;1352;217
898;715;1306;794;702
899;1306;790;766;794
900;795;217;833;208
901;813;795;208;868
902;1139;837;847;1259
903;1310;1311;798;837
904;1258;801;820;830
905;94;1281;801;1258
906;828;1299;117;1323
907;118;873;802;821
908;1338;1350;1349;216
909;805;228;823;1352
910;806;765;1239;1217
