Element;Node-1;Node-2;Node-3;Node-4
935;3099;4832;3076;200
936;191;2324;4735;2391
937;3838;192;4755;2513
938;2562;2464;193;2616
939;194;2060;2179;2264
940;2061;2180;195;2445
941;2556;2683;196;4788
942;4787;2866;2811;2743
943;220;3432;3091;3088
944;4913;3478;3447;4988
945;200;3174;3213;3248
946;203;2346;2325;2091
947;3508;2835;4833;4832
948;205;1624;1679;1693
949;2091;4768;1986;203
950;1898;206;4580;4581
951;185;1983;2089;2423
952;2281;2423;2471;4808
953;4862;2503;4918;210
954;233;2926;2960;3061
955;212;2960;2926;2721
956;2660;2800;2701;2519
957;2777;2884;2923;214
958;2794;4921;2865;237
959;2575;2642;3661;238
960;2504;2641;2693;217
961;2693;239;5118;2772
962;240;3092;2904;5107
963;220;3088;5090;3117
964;4988;3413;221;4913
965;3342;222;3324;4993
966;4996;3385;4994;2980
967;2661;2777;214;4854
968;4946;2711;4921;2794
969;2642;2575;216;2359
970;2422;2504;217;3862
971;217;2693;2772;4951
972;2904;3000;2959;218
973;5090;3088;3051;3164
974;3447;4987;3512;3477
975;3324;4938;3384;4993
976;2604;3806;224;2622
977;2808;245;2734;2622
978;1892;1591;1961;4562
979;2097;247;1990;4770
980;1775;1593;1689;229
981;1988;230;4868;2096
982;208;2524;2471;2423
983;2676;5032;2804;2663
984;2725;3933;2611;210
985;4008;4166;4098;5003
986;4166;4008;233;4246
987;3802;3749;3759;4042
988;258;3701;3718;3759
989;3627;3691;3680;3624
990;5102;3626;3603;3548
991;262;3232;3260;5198
992;5118;240;5107;2929
993;2904;3092;241;3000
994;3936;3164;3181;3254
995;265;3399;3360;3760
996;2950;245;2980;3016
997;244;3016;2980;4994
998;3548;3603;3505;261
999;239;3260;3232;3166
1000;241;3181;3164;3051
1001;3330;3399;5130;3919
1002;3467;244;5086;3410
1003;247;2343;2231;2159
1004;1688;249;1591;1772
1005;2159;269;2220;2094
1006;1795;1611;1703;251
1007;2117;2024;252;2310
1008;5025;2497;5104;2411
1009;3814;5180;3992;2679
1010;4288;4031;4160;254
1011;4237;5155;4246;3836
1012;3758;3749;257;3999
1013;3624;259;3659;3599
1014;261;3505;3470;5226
1015;3364;3406;3493;284
1016;5307;3338;285;3264
1017;263;3349;3298;3253
1018;3348;3427;3253;3298
1019;3468;3360;3400;3427
1020;3872;5195;5133;266
1021;3762;3750;290;3764
1022;3750;3762;3736;289
1023;3549;3470;3505;260
1024;3406;3364;262;5198
1025;3364;5248;5206;262
1026;263;3206;3180;3349
1027;3253;264;3254;263
1028;3330;3400;3360;3399
1029;5195;5134;3760;3724
1030;2205;4887;269;2317
1031;2630;291;3770;5154
1032;1626;1716;294;1530
1033;2151;1849;4736;270
1034;1627;1507;272;1715
1035;1850;1976;4901;2080
1036;5065;2301;4976;4975
1037;3921;4199;3814;253
1038;4375;4250;4376;4424
1039;5323;4380;4237;5277
1040;4145;3999;257;4098
1041;4102;3751;3840;302
1042;280;3840;3751;3734
1043;3727;3746;303;3825
1044;3596;306;3466;3812
1045;3367;3370;3439;307
