Time;X;Y
189;0;2444.16
190;0;2446.49
191;0;2448.81
192;0;2451.12
193;0;2453.42
194;0;2455.71
195;0;2457.98
196;0;2460.25
197;0;2462.5
198;0;2464.74
199;0;2466.98
200;0;2469.2
201;0;2471.41
202;0;2473.61
203;0;2475.8
204;0;2477.98
205;0;2480.15
206;0;2482.3
207;0;2484.45
208;0;2486.59
209;0;2488.72
210;0;2490.84
211;0;2492.95
212;0;2495.05
213;0;2497.14
214;0;2499.22
215;0;2501.29
216;0;2503.36
217;0;2505.41
218;0;2507.45
219;0;2509.48
220;0;2511.51
221;0;2513.53
222;0;2515.53
223;0;2517.53
224;0;2519.52
225;0;2521.5
226;0;2523.47
227;0;2525.43
228;0;2527.39
229;0;2529.33
230;0;2531.27
231;0;2533.2
232;0;2535.12
233;0;2537.03
234;0;2538.93
235;0;2540.83
236;0;2542.72
237;0;2544.59
238;0;2546.46
239;0;2548.33
240;0;2550.18
241;0;2552.03
242;0;2553.87
243;0;2555.7
244;0;2557.52
245;0;2559.34
246;0;2561.14
247;0;2562.94
248;0;2564.74
249;0;2566.52
250;0;2568.3
251;0;2570.07
252;0;2571.83
253;0;2573.59
254;0;2575.34
255;0;2577.08
256;0;2578.81
257;0;2580.54
258;0;2582.26
259;0;2583.97
260;0;2585.67
261;0;2587.37
262;0;2589.06
263;0;2590.75
264;0;2592.43
265;0;2594.1
266;0;2595.76
267;0;2597.42
268;0;2599.07
269;0;2600.71
270;0;2602.35
271;0;2603.98
272;0;2605.61
273;0;2607.22
274;0;2608.83
275;0;2610.44
276;0;2612.04
277;0;2613.63
278;0;2615.22
279;0;2616.79
280;0;2618.37
281;0;2619.93
282;0;2621.5
283;0;2623.05
284;0;2624.6
285;0;2626.14
286;0;2627.68
287;0;2629.21
288;0;2630.73
289;0;2632.25
290;0;2633.76
291;0;2635.27
292;0;2636.77
293;0;2638.27
294;0;2639.76
295;0;2641.24
296;0;2642.72
297;0;2644.19
298;0;2645.66
299;0;2647.12
300;0;2648.57
301;0;2650.02
302;0;2651.47
303;0;2652.9
304;0;2654.34
305;0;2655.76
306;0;2657.19
307;0;2658.6
308;0;2660.02
309;0;2661.42
310;0;2662.82
311;0;2664.22
312;0;2665.61
313;0;2666.99
314;0;2668.37
315;0;2669.75
316;0;2671.12
317;0;2672.48
318;0;2673.84
319;0;2675.2
320;0;2676.54
321;0;2677.89
322;0;2679.23
323;0;2680.56
324;0;2681.89
325;0;2683.22
326;0;2684.54
327;0;2685.85
328;0;2687.16
329;0;2688.46
330;0;2689.76
331;0;2691.06
332;0;2692.35
333;0;2693.64
334;0;2694.92
335;0;2696.19
336;0;2697.46
337;0;2698.73
338;0;2699.99
339;0;2701.25
340;0;2702.5
341;0;2703.75
342;0;2705
343;0;2706.24
344;0;2707.47
345;0;2708.7
346;0;2709.93
347;0;2711.15
348;0;2712.36
349;0;2713.58
350;0;2714.79
351;0;2715.99
352;0;2717.19
353;0;2718.38
354;0;2719.58
355;0;2720.76
356;0;2721.94
357;0;2723.12
358;0;2724.3
359;0;2725.47
360;0;2726.63
361;0;2727.79
362;0;2728.95
363;0;2730.1
364;0;2731.25
365;0;2732.4
366;0;2733.54
367;0;2734.68
368;0;2735.81
369;0;2736.94
370;0;2738.06
371;0;2739.18
372;0;2740.3
373;0;2741.41
374;0;2742.52
375;0;2743.63
