Node;X;Y
99.0000000000;0.0071715657;1.6079782248
100.0000000000;0.0071715657;1.2083318233
101.0000000000;0.0071715657;0.8086965680
102.0000000000;0.0071715657;0.4090823829
103.0000000000;14.3491716385;0.3953126967
104.0000000000;14.3491716385;0.7826601863
105.0000000000;14.3491716385;1.1735926867
106.0000000000;14.3491716385;1.5709969997
107.0000000000;14.3491716385;1.9643983841
108.0000000000;14.3491716385;2.3565306664
109.0000000000;14.3491716385;2.7483520508
110.0000000000;14.3491716385;3.1368896961
111.0000000000;14.3491716385;3.5370569229
112.0000000000;14.3491716385;3.9111008644
113.0000000000;14.3491716385;4.2882204056
114.0000000000;14.3491764069;4.6713109016
115.0000000000;14.3491497040;5.0620059967
116.0000000000;14.3491888046;5.4556384087
117.0000000000;14.3497600555;5.8476715088
118.0000000000;14.3409242630;6.2426190376
119.0000000000;14.2597255707;6.6647868156
120.0000000000;14.0921411514;7.0540781021
121.0000000000;13.8438253403;7.4021039009
122.0000000000;13.5266599655;7.6898374557
123.0000000000;13.1511783600;7.9052863121
124.0000000000;12.7344732285;8.0360050201
125.0000000000;12.3138914108;8.0738115311
126.0000000000;11.9149408340;8.0729694366
127.0000000000;11.5184640884;8.0732707977
128.0000000000;11.1275939941;8.0732936859
129.0000000000;10.7372608185;8.0732660294
130.0000000000;10.3434581757;8.0733404160
131.0000000000;9.9531707764;8.0749902725
132.0000000000;9.0946731567;0.0094999215
133.0000000000;9.5014686584;0.0094999215
134.0000000000;9.9090127945;0.0094999215
135.0000000000;10.3170061111;0.0094999215
136.0000000000;10.7251272202;0.0094999215
137.0000000000;11.1330213547;0.0094999215
138.0000000000;11.5403566360;0.0094999215
139.0000000000;11.9468679428;0.0094999215
140.0000000000;12.3522768021;0.0094999215
141.0000000000;12.7560653687;0.0094999215
142.0000000000;13.1573257446;0.0094999215
143.0000000000;13.5568656921;0.0094999215
144.0000000000;13.9540023804;0.0094999215
145.0000000000;8.2198371887;8.2742471695
146.0000000000;9.1252183914;7.8544530869
147.0000000000;8.6996212006;8.0310459137
148.0000000000;8.2082023621;7.7792224884
149.0000000000;8.1920356750;7.3506770134
150.0000000000;8.1685190201;6.9456896782
151.0000000000;8.1383314133;6.5518579483
152.0000000000;8.1033420563;6.1632995605
153.0000000000;8.0652761459;5.7770333290
154.0000000000;8.0253734589;5.3917722702
155.0000000000;7.9844317436;5.0069475174
156.0000000000;7.9429292679;4.6223120689
157.0000000000;7.9011354446;4.2377710342
158.0000000000;7.8592042923;3.8533143997
159.0000000000;7.8172264099;3.4690034389
160.0000000000;7.7752685547;3.0849413872
161.0000000000;7.7333841324;2.7011482716
162.0000000000;7.6915612221;2.3171291351
163.0000000000;7.6498632431;1.9327403307
164.0000000000;7.6087055206;1.5480031967
165.0000000000;7.5693030357;1.1632239819
166.0000000000;7.5327529907;0.7784394026
167.0000000000;7.5043830872;0.3938400447
168.0000000000;7.6430110931;10.8064441681
169.0000000000;7.6276450157;10.3999195099
170.0000000000;7.6374297142;9.9954538345
171.0000000000;7.6863880157;9.5893793106
172.0000000000;7.7906641960;9.1762380600
173.0000000000;7.9654493332;8.7487602234
174.0000000000;0.4350505471;8.3994112015
175.0000000000;0.8625470996;8.3960571289
176.0000000000;1.2897593975;8.3915538788
177.0000000000;1.7167696953;8.3863458633
178.0000000000;2.1436500549;8.3807754517
179.0000000000;2.5704560280;8.3750495911
180.0000000000;2.9972209930;8.3692646027
181.0000000000;3.4239602089;8.3634634018
182.0000000000;3.8506770134;8.3576679230
183.0000000000;4.2773771286;8.3518981934
184.0000000000;4.7101130486;8.3451318741
185.0000000000;5.1449499130;8.3382558823
186.0000000000;5.5791931152;8.3317451477
187.0000000000;6.0103883743;8.3257522583
188.0000000000;6.4312143326;8.3211431503
189.0000000000;6.8537979126;8.3147010803
190.0000000000;7.2897152901;8.3055553436
191.0000000000;7.7164459229;8.2892808914
192.0000000000;7.9033141136;0.3896779120
193.0000000000;8.3053779602;0.3859322667
194.0000000000;7.9324302673;0.7700594068
195.0000000000;8.3333549500;0.7625380754
196.0000000000;7.9682526588;1.1504184008
197.0000000000;8.3682823181;1.1390883923
198.0000000000;8.0076799393;1.5307393074
199.0000000000;8.4073486328;1.5150972605
200.0000000000;8.0489330292;1.9105021954
201.0000000000;8.4483175278;1.8890911341
202.0000000000;8.0908546448;2.2888278961
203.0000000000;8.4897060394;2.2591171265
204.0000000000;8.1331472397;2.6659843922
205.0000000000;8.5320520401;2.6274747849
206.0000000000;8.1757030487;3.0424604416
207.0000000000;8.5749177933;2.9937186241
208.0000000000;8.2185707092;3.4200434685
209.0000000000;8.6186323166;3.3642721176
210.0000000000;8.2615890503;3.7983641624
211.0000000000;8.6626148224;3.7361943722
212.0000000000;8.3046436310;4.1770448685
213.0000000000;8.7066736221;4.1085863113
214.0000000000;8.3476438522;4.5558929443
215.0000000000;8.7507266998;4.4811544418
216.0000000000;8.3904819489;4.9348478317
217.0000000000;8.7947082520;4.8538084030
218.0000000000;8.4329824448;5.3139467239
219.0000000000;8.8385267258;5.2265481949
220.0000000000;8.4748363495;5.6933512688
221.0000000000;8.8820257187;5.5994491577
222.0000000000;8.5155181885;6.0734415054
223.0000000000;8.9245090485;5.9769649506
224.0000000000;8.5540723801;6.4565582275
225.0000000000;8.9640483856;6.3679165840
226.0000000000;8.5890750885;6.8473496437
227.0000000000;9.0032730103;6.7511801720
228.0000000000;8.6214885712;7.2411527634
229.0000000000;9.0419893265;7.1309041977
230.0000000000;8.6533927917;7.6388149261
231.0000000000;9.0806226730;7.5052156448
232.0000000000;7.2585115433;10.7957935333
233.0000000000;6.8706197739;10.7895965576
234.0000000000;6.4777994156;10.7864217758
235.0000000000;6.0805673599;10.7853012085
236.0000000000;5.6800732613;10.7854900360
237.0000000000;5.2774291039;10.7864608765
238.0000000000;4.8734779358;10.7878665924
239.0000000000;4.4687809944;10.7895021439
240.0000000000;4.0636796951;10.7912540436
241.0000000000;3.6583676338;10.7930631638
242.0000000000;3.2529501915;10.7948970795
243.0000000000;2.8474814892;10.7967424393
244.0000000000;2.4419882298;10.7985935211
245.0000000000;2.0364820957;10.8004465103
246.0000000000;1.6309577227;10.8022861481
247.0000000000;1.2253781557;10.8040475845
248.0000000000;0.8196526170;10.8055610657
249.0000000000;0.4136388600;10.8066091537
250.0000000000;7.2668766975;10.3831272125
251.0000000000;6.8903884888;10.3722677231
252.0000000000;6.5025339127;10.3664617538
253.0000000000;6.1068763733;10.3643331528
254.0000000000;5.7061996460;10.3646183014
255.0000000000;5.3024778366;10.3663711548
256.0000000000;4.8969993591;10.3689594269
257.0000000000;4.4905529022;10.3720006943
258.0000000000;4.0835933685;10.3752746582
259.0000000000;3.6763722897;10.3786640167
260.0000000000;3.2690205574;10.3821086884
261.0000000000;2.8616065979;10.3855791092
