eval;phi;x1;x2;x3;x4;x5;x6
29;8.132797745302e+03;2.849010684647e-01;3.736507660690e-01;1.567052674630e+00;5.647773135269e+02;1.596249740698e+02;2.602262120580e-01
30;8.132850523718e+03;2.849010684647e-01;3.736507660690e-01;1.567052674630e+00;5.647773135269e+02;1.596249716912e+02;2.602262159356e-01
31;2.704101020684e+03;2.848258958124e-01;3.737312025625e-01;1.565154178915e+00;5.700626118072e+02;1.602262029855e+02;2.636763648490e-01
32;2.704101081743e+03;2.848259000566e-01;3.737312025625e-01;1.565154178915e+00;5.700626118072e+02;1.602262029855e+02;2.636763648490e-01
33;2.704101068389e+03;2.848258958124e-01;3.737312081316e-01;1.565154178915e+00;5.700626118072e+02;1.602262029855e+02;2.636763648490e-01
34;2.704101017095e+03;2.848258958124e-01;3.737312025625e-01;1.565154202238e+00;5.700626118072e+02;1.602262029855e+02;2.636763648490e-01
35;2.704100673745e+03;2.848258958124e-01;3.737312025625e-01;1.565154178915e+00;5.700626203018e+02;1.602262029855e+02;2.636763648490e-01
36;2.704101088274e+03;2.848258958124e-01;3.737312025625e-01;1.565154178915e+00;5.700626118072e+02;1.602262053730e+02;2.636763648490e-01
37;2.704101172899e+03;2.848258958124e-01;3.737312025625e-01;1.565154178915e+00;5.700626118072e+02;1.602262029855e+02;2.636763687781e-01
38;2.703627182785e+03;2.848263640267e-01;3.737307277158e-01;1.565156361490e+00;5.701057629107e+02;1.602205218519e+02;2.637015428809e-01
39;2.703627182796e+03;2.848263682710e-01;3.737307277158e-01;1.565156361490e+00;5.701057629107e+02;1.602205218519e+02;2.637015428809e-01
40;2.703627183581e+03;2.848263640267e-01;3.737307332848e-01;1.565156361490e+00;5.701057629107e+02;1.602205218519e+02;2.637015428809e-01
41;2.703627182803e+03;2.848263640267e-01;3.737307277158e-01;1.565156384813e+00;5.701057629107e+02;1.602205218519e+02;2.637015428809e-01
42;2.703627182970e+03;2.848263640267e-01;3.737307277158e-01;1.565156361490e+00;5.701057714059e+02;1.602205218519e+02;2.637015428809e-01
43;2.703627182792e+03;2.848263640267e-01;3.737307277158e-01;1.565156361490e+00;5.701057629107e+02;1.602205242394e+02;2.637015428809e-01
44;2.703627182969e+03;2.848263640267e-01;3.737307277158e-01;1.565156361490e+00;5.701057629107e+02;1.602205218519e+02;2.637015468104e-01
45;2.703627182626e+03;2.848263597458e-01;3.737307235017e-01;1.565156360906e+00;5.701057720795e+02;1.602205229836e+02;2.637015517002e-01
46;2.703627182626e+03;2.848263597458e-01;3.737307235017e-01;1.565156360906e+00;5.701057720795e+02;1.602205229836e+02;2.637015517002e-01
47;2.703629542486e+03;2.848233320186e-01;3.737307235017e-01;1.565156360906e+00;5.701057720795e+02;1.602205229836e+02;2.637015517002e-01
48;2.703629542426e+03;2.848293874730e-01;3.737307235017e-01;1.565156360906e+00;5.701057720795e+02;1.602205229836e+02;2.637015517002e-01
49;2.703732260365e+03;2.848263597458e-01;3.737276957745e-01;1.565156360906e+00;5.701057720795e+02;1.602205229836e+02;2.637015517002e-01
50;2.703732259942e+03;2.848263597458e-01;3.737337512290e-01;1.565156360906e+00;5.701057720795e+02;1.602205229836e+02;2.637015517002e-01
51;2.703627663157e+03;2.848263597458e-01;3.737307235017e-01;1.565146883173e+00;5.701057720795e+02;1.602205229836e+02;2.637015517002e-01
52;2.703627663141e+03;2.848263597458e-01;3.737307235017e-01;1.565165838639e+00;5.701057720795e+02;1.602205229836e+02;2.637015517002e-01
53;2.703775688004e+03;2.848263597458e-01;3.737307235017e-01;1.565156360906e+00;5.700997166251e+02;1.602205229836e+02;2.637015517002e-01
54;2.703775689162e+03;2.848263597458e-01;3.737307235017e-01;1.565156360906e+00;5.701118275340e+02;1.602205229836e+02;2.637015517002e-01
55;2.703658002035e+03;2.848263597458e-01;3.737307235017e-01;1.565156360906e+00;5.701057720795e+02;1.602181008019e+02;2.637015517002e-01
56;2.703658003696e+03;2.848263597458e-01;3.737307235017e-01;1.565156360906e+00;5.701057720795e+02;1.602229451654e+02;2.637015517002e-01
57;2.703646578907e+03;2.848263597458e-01;3.737307235017e-01;1.565156360906e+00;5.701057720795e+02;1.602205229836e+02;2.636999548674e-01
58;2.703646578421e+03;2.848263597458e-01;3.737307235017e-01;1.565156360906e+00;5.701057720795e+02;1.602205229836e+02;2.637031485329e-01
